uri	prefLabels	prefUnknown	altLabels	altLanguages	altUnknown	notations
http://bartoc.org/en/node/7	2	1	0	0	0	1
http://bartoc.org/en/node/8	1	0	2	1	0	0
http://bartoc.org/en/node/9	1	0	2	1	0	0
http://bartoc.org/en/node/10	1	0	2	1	0	0
http://bartoc.org/en/node/11	1	0	0	0	0	1
http://bartoc.org/en/node/12	1	0	3	1	0	0
http://bartoc.org/en/node/13	1	0	2	1	0	0
http://bartoc.org/en/node/14	1	0	0	0	0	1
http://bartoc.org/en/node/15	1	1	2	1	2	0
http://bartoc.org/en/node/16	1	1	0	0	0	1
http://bartoc.org/en/node/17	1	0	2	2	0	0
http://bartoc.org/en/node/18	1	1	2	2	1	0
http://bartoc.org/en/node/19	1	1	2	2	1	0
http://bartoc.org/en/node/20	1	1	0	0	0	1
http://bartoc.org/en/node/21	1	0	0	0	0	0
http://bartoc.org/en/node/22	1	0	2	1	0	0
http://bartoc.org/en/node/23	2	1	0	0	0	1
http://bartoc.org/en/node/24	1	0	2	1	0	0
http://bartoc.org/en/node/25	1	1	3	2	1	0
http://bartoc.org/en/node/26	1	0	2	1	0	0
http://bartoc.org/en/node/27	2	1	0	0	0	1
http://bartoc.org/en/node/28	1	0	0	0	0	0
http://bartoc.org/en/node/29	1	0	2	2	0	1
http://bartoc.org/en/node/30	1	0	2	1	0	0
http://bartoc.org/en/node/31	1	0	2	1	0	0
http://bartoc.org/en/node/32	1	0	2	2	0	0
http://bartoc.org/en/node/33	2	1	0	0	0	1
http://bartoc.org/en/node/34	1	0	0	0	0	0
http://bartoc.org/en/node/35	1	1	2	2	1	0
http://bartoc.org/en/node/36	1	0	0	0	0	0
http://bartoc.org/en/node/37	1	0	0	0	0	0
http://bartoc.org/en/node/38	2	1	0	0	0	1
http://bartoc.org/en/node/39	1	0	2	1	0	0
http://bartoc.org/en/node/40	1	0	2	2	0	0
http://bartoc.org/en/node/41	1	0	2	1	0	0
http://bartoc.org/en/node/42	1	1	0	0	0	0
http://bartoc.org/en/node/43	1	1	2	2	1	0
http://bartoc.org/en/node/44	1	0	0	0	0	0
http://bartoc.org/en/node/45	1	0	0	0	0	0
http://bartoc.org/en/node/46	1	0	0	0	0	0
http://bartoc.org/en/node/47	1	0	0	0	0	0
http://bartoc.org/en/node/48	1	1	2	1	2	0
http://bartoc.org/en/node/49	1	0	3	1	0	0
http://bartoc.org/en/node/50	1	0	3	1	0	0
http://bartoc.org/en/node/51	1	0	2	1	0	0
http://bartoc.org/en/node/52	1	0	2	1	0	0
http://bartoc.org/en/node/53	1	0	2	1	0	0
http://bartoc.org/en/node/54	1	0	2	1	0	0
http://bartoc.org/en/node/55	1	0	2	1	0	0
http://bartoc.org/en/node/56	1	0	2	1	0	0
http://bartoc.org/en/node/57	1	0	2	1	0	0
http://bartoc.org/en/node/58	1	0	2	1	0	0
http://bartoc.org/en/node/59	1	0	2	1	0	0
http://bartoc.org/en/node/60	1	0	2	1	0	0
http://bartoc.org/en/node/61	1	0	2	1	0	0
http://bartoc.org/en/node/62	1	0	0	0	0	0
http://bartoc.org/en/node/63	1	0	2	1	0	0
http://bartoc.org/en/node/64	1	0	2	1	0	0
http://bartoc.org/en/node/65	1	0	2	1	0	0
http://bartoc.org/en/node/66	1	0	2	1	0	0
http://bartoc.org/en/node/67	1	0	0	0	0	1
http://bartoc.org/en/node/68	1	0	2	1	0	0
http://bartoc.org/en/node/69	1	1	2	1	2	0
http://bartoc.org/en/node/70	1	0	0	0	0	1
http://bartoc.org/en/node/71	1	0	2	1	0	0
http://bartoc.org/en/node/72	1	0	3	1	0	0
http://bartoc.org/en/node/73	1	0	0	0	0	0
http://bartoc.org/en/node/74	1	0	0	0	0	0
http://bartoc.org/en/node/75	1	0	0	0	0	1
http://bartoc.org/en/node/76	1	0	2	1	0	0
http://bartoc.org/en/node/77	2	1	0	0	0	1
http://bartoc.org/en/node/82	1	0	0	0	0	0
http://bartoc.org/en/node/83	1	0	0	0	0	0
http://bartoc.org/en/node/84	1	0	0	0	0	0
http://bartoc.org/en/node/85	1	0	0	0	0	0
http://bartoc.org/en/node/86	1	0	2	2	1	0
http://bartoc.org/en/node/87	1	0	0	0	0	0
http://bartoc.org/en/node/88	1	0	0	0	0	0
http://bartoc.org/en/node/89	1	0	0	0	0	0
http://bartoc.org/en/node/90	1	0	0	0	0	0
http://bartoc.org/en/node/91	1	1	2	2	1	0
http://bartoc.org/en/node/92	1	0	0	0	0	0
http://bartoc.org/en/node/93	1	0	0	0	0	0
http://bartoc.org/en/node/94	2	1	0	0	0	1
http://bartoc.org/en/node/95	1	0	4	2	0	0
http://bartoc.org/en/node/96	1	0	0	0	0	0
http://bartoc.org/en/node/97	1	0	0	0	0	0
http://bartoc.org/en/node/98	1	1	2	2	1	0
http://bartoc.org/en/node/99	1	1	2	2	1	0
http://bartoc.org/en/node/100	1	0	2	1	0	0
http://bartoc.org/en/node/101	1	0	0	0	0	0
http://bartoc.org/en/node/102	1	0	2	1	0	0
http://bartoc.org/en/node/103	1	0	0	0	0	0
http://bartoc.org/en/node/104	1	0	2	1	0	0
http://bartoc.org/en/node/105	1	0	2	1	0	0
http://bartoc.org/en/node/106	1	0	0	0	0	0
http://bartoc.org/en/node/107	1	0	0	0	0	0
http://bartoc.org/en/node/109	2	1	0	0	0	1
http://bartoc.org/en/node/110	1	0	0	0	0	0
http://bartoc.org/en/node/111	1	0	0	0	0	0
http://bartoc.org/en/node/112	1	0	2	1	0	0
http://bartoc.org/en/node/113	1	0	0	0	0	0
http://bartoc.org/en/node/114	1	0	0	0	0	1
http://bartoc.org/en/node/115	1	0	0	0	0	0
